T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2005,Changes in stocks (petajoules),7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2010,Changes in stocks (petajoules),-38,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2015,Changes in stocks (petajoules),-13,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2019,Changes in stocks (petajoules),148,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2020,Changes in stocks (petajoules),69,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2021,Changes in stocks (petajoules),49,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,1995,Total supply (petajoules),"18,667",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2000,Total supply (petajoules),"20,999",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2005,Total supply (petajoules),"24,537",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2010,Total supply (petajoules),"28,316",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2015,Total supply (petajoules),"31,494",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2019,Total supply (petajoules),"34,943",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2020,Total supply (petajoules),"33,698",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2021,Total supply (petajoules),"35,266",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,1995,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2000,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2005,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2010,Supply per capita (gigajoules),27,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2015,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2019,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2020,Supply per capita (gigajoules),25,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
2,Africa,2021,Supply per capita (gigajoules),25,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,1995,Primary energy production (petajoules),"84,137",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2000,Primary energy production (petajoules),"85,354",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2005,Primary energy production (petajoules),"85,241",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2010,Primary energy production (petajoules),"88,892",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2015,Primary energy production (petajoules),"104,243",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2019,Primary energy production (petajoules),"119,083",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2020,Primary energy production (petajoules),"112,135",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2021,Primary energy production (petajoules),"115,363",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"11,407",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"18,134",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"23,181",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"14,211",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"1,037",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,726",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,274",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-15,748",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,1995,Changes in stocks (petajoules),-912,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2000,Changes in stocks (petajoules),"-2,335",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2005,Changes in stocks (petajoules),-144,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2010,Changes in stocks (petajoules),-591,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2015,Changes in stocks (petajoules),"2,244",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2019,Changes in stocks (petajoules),966,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2020,Changes in stocks (petajoules),587,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2021,Changes in stocks (petajoules),"-2,265",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
