T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2022,GDP in constant 2015 prices (millions of US dollars),"2,875,884",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,1995,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2005,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2010,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2015,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2020,GDP real rates of growth (percent),-2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2021,GDP real rates of growth (percent),5.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
2,Africa,2022,GDP real rates of growth (percent),3.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,1995,GDP in current prices (millions of US dollars),"207,392",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2005,GDP in current prices (millions of US dollars),"376,507",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2010,GDP in current prices (millions of US dollars),"646,437",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2015,GDP in current prices (millions of US dollars),"772,568",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2020,GDP in current prices (millions of US dollars),"762,299",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2021,GDP in current prices (millions of US dollars),"852,083",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2022,GDP in current prices (millions of US dollars),"855,580",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,1995,GDP per capita (US dollars),"1,281",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2005,GDP per capita (US dollars),"1,922",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2010,GDP per capita (US dollars),"3,127",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2015,GDP per capita (US dollars),"3,390",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2020,GDP per capita (US dollars),"3,039",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
