T26,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
5,South America,1985,Emissions per capita (Kilograms of carbon dioxide),2.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2005,Emissions per capita (Kilograms of carbon dioxide),2.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2010,Emissions per capita (Kilograms of carbon dioxide),2.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2015,Emissions per capita (Kilograms of carbon dioxide),2.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2019,Emissions per capita (Kilograms of carbon dioxide),2.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2020,Emissions per capita (Kilograms of carbon dioxide),2.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2021,Emissions per capita (Kilograms of carbon dioxide),2.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,1975,Emissions (thousand metric tons of carbon dioxide),"2,952,175",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,1985,Emissions (thousand metric tons of carbon dioxide),"4,570,899",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2005,Emissions (thousand metric tons of carbon dioxide),"11,582,788",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2010,Emissions (thousand metric tons of carbon dioxide),"15,367,335",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2015,Emissions (thousand metric tons of carbon dioxide),"17,459,382",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2019,Emissions (thousand metric tons of carbon dioxide),"19,075,252",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2020,Emissions (thousand metric tons of carbon dioxide),"18,681,571",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2021,Emissions (thousand metric tons of carbon dioxide),"19,692,081",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,1975,Emissions per capita (Kilograms of carbon dioxide),1.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,1985,Emissions per capita (Kilograms of carbon dioxide),1.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2005,Emissions per capita (Kilograms of carbon dioxide),2.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2010,Emissions per capita (Kilograms of carbon dioxide),3.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2015,Emissions per capita (Kilograms of carbon dioxide),3.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2019,Emissions per capita (Kilograms of carbon dioxide),4.1,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2020,Emissions per capita (Kilograms of carbon dioxide),4.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2021,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,1975,Emissions (thousand metric tons of carbon dioxide),"7,119,974",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,1985,Emissions (thousand metric tons of carbon dioxide),"8,125,602",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2005,Emissions (thousand metric tons of carbon dioxide),"6,024,469",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2010,Emissions (thousand metric tons of carbon dioxide),"5,714,704",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2015,Emissions (thousand metric tons of carbon dioxide),"5,162,510",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2019,Emissions (thousand metric tons of carbon dioxide),"5,029,676",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2020,Emissions (thousand metric tons of carbon dioxide),"4,650,290",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2021,Emissions (thousand metric tons of carbon dioxide),"5,043,199",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,1975,Emissions per capita (Kilograms of carbon dioxide),9.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,1985,Emissions per capita (Kilograms of carbon dioxide),10.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2005,Emissions per capita (Kilograms of carbon dioxide),8.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2010,Emissions per capita (Kilograms of carbon dioxide),7.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2015,Emissions per capita (Kilograms of carbon dioxide),6.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2019,Emissions per capita (Kilograms of carbon dioxide),6.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2020,Emissions per capita (Kilograms of carbon dioxide),6.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2021,Emissions per capita (Kilograms of carbon dioxide),6.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,1975,Emissions (thousand metric tons of carbon dioxide),"1,744",Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
