"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2012,366,119,243,4,0,0,0,147,72,53,0,1,45,320,0
"Michigan City-La Porte, IN","33140",2012,239,131,84,18,3,3,0,214,101,48,0,0,162,77,0
"Middlesborough, KY","33180",2012,259,151,104,4,0,0,0,133,76,47,0,0,223,36,0
"Milwaukee-Waukesha-West Allis, WI","33340",2012,366,108,226,23,9,0,0,192,96,58,0,1,97,268,0
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2012,366,129,229,7,1,0,0,185,75,54,0,10,101,247,8
"Missoula, MT","33540",2012,366,54,265,32,15,0,0,188,117,65,0,0,15,349,2
"Mobile, AL","33660",2012,284,211,70,3,0,0,0,126,64,40,0,0,198,83,3
"Modesto, CA","33700",2012,366,95,192,67,11,1,0,201,125,64,0,0,174,192,0
"Monroe, LA","33740",2012,366,71,295,0,0,0,0,92,69,57,0,0,30,336,0
"Monroe, MI","33780",2012,124,59,64,1,0,0,0,105,64,52,0,0,0,124,0
"Montgomery, AL","33860",2012,280,175,104,1,0,0,0,102,66,46,0,0,182,98,0
"Morehead City, NC","33980",2012,252,241,11,0,0,0,0,84,45,35,0,0,252,0,0
"Morgantown, WV","34060",2012,261,167,88,6,0,0,0,150,80,44,0,0,176,85,0
"Morristown, TN","34100",2012,245,152,84,6,2,1,0,206,80,46,0,0,245,0,0
"Moscow, ID","34140",2012,347,299,42,2,4,0,0,180,56,16,0,0,0,347,0
"Moses Lake, WA","34180",2012,365,291,74,0,0,0,0,95,56,29,0,0,0,365,0
"Mount Vernon, IL","34500",2012,214,118,71,22,3,0,0,164,105,49,0,0,214,0,0
"Mount Vernon, OH","34540",2012,214,135,71,7,1,0,0,182,87,45,0,0,214,0,0
